"Discounts","Descuentos"
"Add New Discount","Nuevo Descuento"
"Product ID","Producto ID"
"Percentage","Porcentaje"
"Price","Precio"
"Discount Price","Precio con Descuento"
"From", "Desde"
"To","Hasta"
"Customer Groups","Grupos de Clientes"
"Discount Manager","Administrador de Descuentos"
"Product SKU","Producto SKU"
"Information","Información"
"Discount Information","Informacion de descuento"
"The From Date value should be less than or equal to the To Date value","La fecha de inicio debe ser menor o igual a la fecha limite"
"Form","Desde"
"To","Hasta"
"Customer Group","Grupo de cliente"
"Note","Nota"
"To apply the rule to all customer groups enter the value -1","Para aplicar la regla de descuento a todos los grupos asigne -1"
"File Example","Archivo de Ejemplo"
"Empty Register","Eliminar Registros"
"Attach Template","Adjuntar template"
"sync up","Sincronizar"
"Import Discount","Importar Descuentos"
"Import complete witch errors","Importación completa pero con errores"
"Import complete","Importación completa"
"No found product","Producto no encontrado"
"Edit Discount '%s'","Editar Descuento '%s'"